phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.28059465741117795,-475443.21875,,0.004523322995830579,,,8s
retrain,2,0.0670165756225586,-744751.5625,,0.004523322995830579,,,16s
retrain,3,0.04477262159983317,-907479.375,,0.004523322995830579,,,24s
retrain,4,0.03446453931530317,-942791.9375,,0.004523322995830579,,,32s
retrain,5,0.028341395776718854,-946257.5625,,0.004523322995830579,,,40s
retrain,6,0.02428254723822077,-949002.125,,0.004523322995830579,,,48s
retrain,7,0.020285857054342826,-953774.1875,,0.004523322995830579,,,56s
retrain,8,0.017876635767643652,-960927.0625,,0.004523322995830579,,,1m04s
retrain,9,0.015984598261117935,-967302.75,,0.004523322995830579,,,1m12s
retrain,10,0.013479991561174392,-976643.5625,,0.004523322995830579,,,1m20s
retrain,11,0.013176672943557302,-984785.5,,0.004523322995830579,,,1m28s
retrain,12,0.012288776823381583,-993868.375,,0.004523322995830579,,,1m36s
retrain,13,0.010831562829017639,-1006212.3125,,0.004523322995830579,,,1m45s
retrain,14,0.010548689477766554,-1018929.6875,,0.004523322995830579,,,1m53s
retrain,15,0.00994984286831071,-1032871.625,,0.004523322995830579,,,2m01s
retrain,16,0.009632218574484189,-1050057.125,,0.004523322995830579,,,2m08s
retrain,17,0.00924372127422442,-1066456.875,,0.004523322995830579,,,2m16s
retrain,18,0.008295293095366408,-1092755.75,,0.004523322995830579,,,2m24s
retrain,19,0.009558898164704442,-1111228.125,,0.004523322995830579,,,2m33s
retrain,20,0.008732298860823115,-1137821.875,,0.004523322995830579,0.9919,62.83,2m41s
retrain,21,0.00903068480938673,-1170829.25,,0.004523322995830579,,,2m49s
retrain,22,0.009762051919164757,-1206461.25,,0.004523322995830579,,,2m57s
retrain,23,0.008798233207501472,-1265045.125,,0.004523322995830579,,,3m06s
retrain,24,0.009036242460086942,-1336592.0,,0.004523322995830579,,,3m14s
retrain,25,0.009859285793453455,-1432644.375,,0.004523322995830579,,,3m22s
retrain,26,0.009883795941372713,-1541932.5,,0.004523322995830579,,,3m30s
retrain,27,0.00979902463455995,-1601451.625,,0.004523322995830579,,,3m38s
retrain,28,0.008951774146532018,-1640004.75,,0.004523322995830579,,,3m46s
retrain,29,0.007154513389679293,-1649662.375,,0.004523322995830579,,,3m54s
retrain,30,0.0061648402607766915,-1649330.0,,0.004523322995830579,,,4m02s
retrain,31,0.005907386072228352,-1655016.25,,0.004523322995830579,,,4m11s
retrain,32,0.005450312255272487,-1672591.625,,0.004523322995830579,,,4m19s
retrain,33,0.005761292675936905,-1649037.875,,0.004523322995830579,,,4m27s
retrain,34,0.003871992221676434,-1646878.125,,0.004523322995830579,,,4m35s
retrain,35,0.0036917074981184365,-1653190.125,,0.004523322995830579,,,4m43s
retrain,36,0.0034440874655498194,-1666376.375,,0.004523322995830579,,,4m51s
retrain,37,0.002959334725552859,-1676354.875,,0.004523322995830579,,,4m59s
retrain,38,0.004110828214387099,-1617119.875,,0.004523322995830579,,,5m07s
retrain,39,0.00417073459433935,-1649658.75,,0.004523322995830579,,,5m15s
retrain,40,0.0027498763310761813,-1685989.75,,0.004523322995830579,0.9927,50.95,5m24s
