phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.27558996194998425,-476450.59375,,0.0064986920277607975,,,7s
retrain,2,0.07267261185447375,-748363.1875,,0.0064986920277607975,,,16s
retrain,3,0.0497185693770647,-918113.0,,0.0064986920277607975,,,24s
retrain,4,0.03897509698520104,-961904.4375,,0.0064986920277607975,,,31s
retrain,5,0.031771376843502126,-973349.75,,0.0064986920277607975,,,39s
retrain,6,0.027393609203398228,-983636.9375,,0.0064986920277607975,,,47s
retrain,7,0.024481530285129945,-995960.375,,0.0064986920277607975,,,55s
retrain,8,0.02097212922970454,-1010916.875,,0.0064986920277607975,,,1m03s
retrain,9,0.019264420809348426,-1026299.3125,,0.0064986920277607975,,,1m11s
retrain,10,0.018330466085796554,-1040534.4375,,0.0064986920277607975,,,1m20s
retrain,11,0.015919503272697328,-1062918.125,,0.0064986920277607975,,,1m28s
retrain,12,0.01559915822011729,-1083155.0,,0.0064986920277607975,,,1m36s
retrain,13,0.014856870830555757,-1108624.375,,0.0064986920277607975,,,1m43s
retrain,14,0.014942572195455433,-1134888.125,,0.0064986920277607975,,,1m51s
retrain,15,0.015006285610422491,-1166718.0,,0.0064986920277607975,,,1m59s
retrain,16,0.014026821143552661,-1211064.5,,0.0064986920277607975,,,2m07s
retrain,17,0.014208611220742266,-1260703.375,,0.0064986920277607975,,,2m16s
retrain,18,0.014871897023419539,-1319005.125,,0.0064986920277607975,,,2m24s
retrain,19,0.01433978503930072,-1397575.75,,0.0064986920277607975,,,2m32s
retrain,20,0.01433023248600463,-1473694.0,,0.0064986920277607975,0.9916,55.48,2m41s
retrain,21,0.014855908744968473,-1524572.875,,0.0064986920277607975,,,2m49s
retrain,22,0.014296843166152637,-1548704.625,,0.0064986920277607975,,,2m58s
retrain,23,0.012383682577932875,-1573686.625,,0.0064986920277607975,,,3m06s
retrain,24,0.011180178692378103,-1579624.625,,0.0064986920277607975,,,3m14s
retrain,25,0.009759762005942562,-1591299.875,,0.0064986920277607975,,,3m23s
retrain,26,0.009592678088508546,-1587287.875,,0.0064986920277607975,,,3m31s
retrain,27,0.008757640530293187,-1597376.875,,0.0064986920277607975,,,3m39s
retrain,28,0.009271058634761721,-1594987.0,,0.0064986920277607975,,,3m47s
retrain,29,0.00727851494285278,-1599091.125,,0.0064986920277607975,,,3m55s
retrain,30,0.007432517197503087,-1602814.625,,0.0064986920277607975,,,4m03s
retrain,31,0.006878866122383624,-1596900.25,,0.0064986920277607975,,,4m11s
retrain,32,0.007692401546534772,-1580058.75,,0.0064986920277607975,,,4m19s
retrain,33,0.0059481608414324,-1611298.0,,0.0064986920277607975,,,4m27s
retrain,34,0.006111740397460138,-1612185.625,,0.0064986920277607975,,,4m35s
retrain,35,0.007202556610588605,-1580490.0,,0.0064986920277607975,,,4m43s
retrain,36,0.004946305991361926,-1610826.875,,0.0064986920277607975,,,4m52s
retrain,37,0.005355315616214648,-1598775.125,,0.0064986920277607975,,,5m00s
retrain,38,0.006139757355048399,-1591614.875,,0.0064986920277607975,,,5m08s
retrain,39,0.004530325196501023,-1612633.5,,0.0064986920277607975,,,5m16s
retrain,40,0.005866233840592516,-1587986.875,,0.0064986920277607975,0.9922,54.39,5m25s
