phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2914816843857368,-475663.59375,,0.0058082124045213575,,,8s
retrain,2,0.07199142423470815,-748946.8125,,0.0058082124045213575,,,16s
retrain,3,0.048868700757622716,-917821.75,,0.0058082124045213575,,,23s
retrain,4,0.03919360153526068,-958581.4375,,0.0058082124045213575,,,31s
retrain,5,0.03204540430257718,-966594.0625,,0.0058082124045213575,,,39s
retrain,6,0.027081994287421307,-975486.5625,,0.0058082124045213575,,,47s
retrain,7,0.023259000914295513,-983208.8125,,0.0058082124045213575,,,55s
retrain,8,0.020057735555867356,-994294.3125,,0.0058082124045213575,,,1m03s
retrain,9,0.01873606284012397,-1004740.125,,0.0058082124045213575,,,1m11s
retrain,10,0.01682800632963578,-1016447.3125,,0.0058082124045213575,,,1m19s
retrain,11,0.014826096004620195,-1030296.0,,0.0058082124045213575,,,1m28s
retrain,12,0.014744703358660141,-1043350.875,,0.0058082124045213575,,,1m36s
retrain,13,0.013318428474913041,-1060074.125,,0.0058082124045213575,,,1m44s
retrain,14,0.013701142831519245,-1076394.125,,0.0058082124045213575,,,1m52s
retrain,15,0.012162548444637407,-1095426.375,,0.0058082124045213575,,,2m00s
retrain,16,0.012500124549369017,-1116933.375,,0.0058082124045213575,,,2m08s
retrain,17,0.011658326790916423,-1144186.5,,0.0058082124045213575,,,2m16s
retrain,18,0.012455405676985781,-1169905.125,,0.0058082124045213575,,,2m24s
retrain,19,0.011661885191251834,-1204337.0,,0.0058082124045213575,,,2m32s
retrain,20,0.011661273327283561,-1245471.5,,0.0058082124045213575,0.9933,60.51,2m41s
retrain,21,0.011567863461064795,-1299762.75,,0.0058082124045213575,,,2m49s
retrain,22,0.012151668322148422,-1355969.5,,0.0058082124045213575,,,2m57s
retrain,23,0.012542114494430523,-1412988.5,,0.0058082124045213575,,,3m05s
retrain,24,0.011868047660030424,-1450334.625,,0.0058082124045213575,,,3m13s
retrain,25,0.011539097106767197,-1506665.875,,0.0058082124045213575,,,3m21s
retrain,26,0.01065309951317807,-1521077.875,,0.0058082124045213575,,,3m30s
retrain,27,0.009912065298606953,-1540010.0,,0.0058082124045213575,,,3m38s
retrain,28,0.008092640726144115,-1553663.875,,0.0058082124045213575,,,3m46s
retrain,29,0.00821002661647896,-1562793.625,,0.0058082124045213575,,,3m54s
retrain,30,0.007640934432980915,-1558899.375,,0.0058082124045213575,,,4m02s
retrain,31,0.007761774090894808,-1565658.5,,0.0058082124045213575,,,4m11s
retrain,32,0.0065231789139875524,-1568477.875,,0.0058082124045213575,,,4m19s
retrain,33,0.0069899426155452,-1560253.625,,0.0058082124045213575,,,4m27s
retrain,34,0.0062868859215639535,-1547544.625,,0.0058082124045213575,,,4m35s
retrain,35,0.004992117149887296,-1568042.875,,0.0058082124045213575,,,4m43s
retrain,36,0.005731224759683634,-1566680.375,,0.0058082124045213575,,,4m52s
retrain,37,0.006570088733461064,-1565283.375,,0.0058082124045213575,,,4m59s
retrain,38,0.005393572928760356,-1570388.25,,0.0058082124045213575,,,5m07s
retrain,39,0.00433081359648301,-1578921.25,,0.0058082124045213575,,,5m15s
retrain,40,0.00441141942590087,-1581019.375,,0.0058082124045213575,0.9917,54.44,5m24s
