phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.27661071553826333,-472054.875,,0.007811081907160803,,,8s
retrain,2,0.06698846880396207,-741373.25,,0.007811081907160803,,,16s
retrain,3,0.04555270744313796,-901643.125,,0.007811081907160803,,,23s
retrain,4,0.035392555280526476,-945036.5,,0.007811081907160803,,,32s
retrain,5,0.030062524936596554,-965892.0625,,0.007811081907160803,,,39s
retrain,6,0.025836551843086877,-987231.25,,0.007811081907160803,,,48s
retrain,7,0.02288264550367991,-1010986.3125,,0.007811081907160803,,,55s
retrain,8,0.021572464676449698,-1035880.0625,,0.007811081907160803,,,1m04s
retrain,9,0.02012400106154382,-1065983.625,,0.007811081907160803,,,1m12s
retrain,10,0.0191566223581632,-1098751.375,,0.007811081907160803,,,1m20s
retrain,11,0.019254520684604842,-1133363.5,,0.007811081907160803,,,1m28s
retrain,12,0.019873908436050018,-1173959.125,,0.007811081907160803,,,1m36s
retrain,13,0.01872578629255295,-1229956.375,,0.007811081907160803,,,1m44s
retrain,14,0.019035273288190366,-1297739.625,,0.007811081907160803,,,1m52s
retrain,15,0.02045577028890451,-1392903.0,,0.007811081907160803,,,2m00s
retrain,16,0.020896723612646263,-1532189.875,,0.007811081907160803,,,2m08s
retrain,17,0.02198966149687767,-1663518.875,,0.007811081907160803,,,2m16s
retrain,18,0.02031692047268152,-1701035.25,,0.007811081907160803,,,2m24s
retrain,19,0.0173195297986269,-1719954.875,,0.007811081907160803,,,2m32s
retrain,20,0.015099265250004828,-1717103.625,,0.007811081907160803,0.9905,55.43,2m41s
retrain,21,0.015222874630397806,-1720341.75,,0.007811081907160803,,,2m49s
retrain,22,0.012622615736660858,-1732453.875,,0.007811081907160803,,,2m57s
retrain,23,0.012763092923443764,-1731195.75,,0.007811081907160803,,,3m05s
retrain,24,0.011179763699423832,-1737408.25,,0.007811081907160803,,,3m13s
retrain,25,0.011349076800979675,-1738886.25,,0.007811081907160803,,,3m21s
retrain,26,0.010937848608661442,-1737000.625,,0.007811081907160803,,,3m29s
retrain,27,0.009025408711625884,-1723933.5,,0.007811081907160803,,,3m37s
retrain,28,0.008911683237024893,-1733747.375,,0.007811081907160803,,,3m45s
retrain,29,0.00932067113009592,-1737100.875,,0.007811081907160803,,,3m54s
retrain,30,0.008910579290551444,-1744206.125,,0.007811081907160803,,,4m02s
retrain,31,0.008183792526779386,-1736829.0,,0.007811081907160803,,,4m10s
retrain,32,0.007703304880547027,-1733881.0,,0.007811081907160803,,,4m18s
retrain,33,0.006422012271103449,-1730349.25,,0.007811081907160803,,,4m26s
retrain,34,0.005803580840521802,-1753570.875,,0.007811081907160803,,,4m34s
retrain,35,0.007304233318163703,-1730791.875,,0.007811081907160803,,,4m43s
retrain,36,0.005928146697045304,-1746812.0,,0.007811081907160803,,,4m51s
retrain,37,0.005989018936649275,-1732880.0,,0.007811081907160803,,,4m59s
retrain,38,0.005423730659647845,-1750454.125,,0.007811081907160803,,,5m07s
retrain,39,0.006420832551488032,-1736843.75,,0.007811081907160803,,,5m15s
retrain,40,0.0046492375643264194,-1717228.5,,0.007811081907160803,0.9902,55.26,5m24s
