phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2863892383038998,-480347.5,,0.006266804240273479,,,14s
retrain,2,0.06688776268959046,-749704.375,,0.006266804240273479,,,28s
retrain,3,0.04589230074981848,-916665.1875,,0.006266804240273479,,,43s
retrain,4,0.03612074421644211,-960262.6875,,0.006266804240273479,,,57s
retrain,5,0.030280809013545514,-971926.75,,0.006266804240273479,,,1m11s
retrain,6,0.02537078700661659,-983971.375,,0.006266804240273479,,,1m26s
retrain,7,0.022679988711575668,-995559.125,,0.006266804240273479,,,1m39s
retrain,8,0.020392355242557822,-1011293.1875,,0.006266804240273479,,,1m49s
retrain,9,0.018912662686407566,-1026113.1875,,0.006266804240273479,,,2m03s
retrain,10,0.016829831651349863,-1044544.8125,,0.006266804240273479,,,2m18s
retrain,11,0.015975662009883672,-1066184.125,,0.006266804240273479,,,2m32s
retrain,12,0.015630868506928287,-1088059.0,,0.006266804240273479,,,2m47s
retrain,13,0.014478149195263783,-1113904.5,,0.006266804240273479,,,3m01s
retrain,14,0.01428271489093701,-1142364.375,,0.006266804240273479,,,3m16s
retrain,15,0.014549422373622656,-1176254.75,,0.006266804240273479,,,3m30s
retrain,16,0.01448509010548393,-1211545.0,,0.006266804240273479,,,3m45s
retrain,17,0.014404896409995854,-1262839.875,,0.006266804240273479,,,3m59s
retrain,18,0.014980456624925137,-1324344.0,,0.006266804240273479,,,4m14s
retrain,19,0.014726963484783967,-1403905.125,,0.006266804240273479,,,4m28s
retrain,20,0.015588351566096148,-1486785.0,,0.006266804240273479,0.9925,56.28,4m43s
retrain,21,0.015268669060369333,-1555467.25,,0.006266804240273479,,,4m57s
retrain,22,0.015349149623140693,-1583480.625,,0.006266804240273479,,,5m12s
retrain,23,0.012676362900684277,-1608307.625,,0.006266804240273479,,,5m26s
retrain,24,0.012170823515579104,-1616999.0,,0.006266804240273479,,,5m41s
retrain,25,0.012112308646055558,-1609761.125,,0.006266804240273479,,,5m55s
retrain,26,0.009811458322529991,-1625671.5,,0.006266804240273479,,,6m09s
retrain,27,0.009905207167503734,-1637876.5,,0.006266804240273479,,,6m24s
retrain,28,0.009392499845040342,-1634539.25,,0.006266804240273479,,,6m39s
retrain,29,0.009170727686366687,-1626356.375,,0.006266804240273479,,,6m53s
retrain,30,0.007935192899017906,-1648692.625,,0.006266804240273479,,,7m07s
retrain,31,0.008296538237854839,-1619236.25,,0.006266804240273479,,,7m22s
retrain,32,0.007307516169920564,-1631194.875,,0.006266804240273479,,,7m37s
retrain,33,0.00680991758874928,-1645631.0,,0.006266804240273479,,,7m52s
retrain,34,0.006239725525910035,-1641974.0,,0.006266804240273479,,,8m06s
retrain,35,0.006852723785769194,-1641317.375,,0.006266804240273479,,,8m21s
retrain,36,0.006249668916369167,-1644231.125,,0.006266804240273479,,,8m35s
retrain,37,0.006010322655620985,-1653022.125,,0.006266804240273479,,,8m49s
retrain,38,0.00533284597263361,-1645439.625,,0.006266804240273479,,,8m58s
retrain,39,0.006126186662361336,-1625647.125,,0.006266804240273479,,,9m12s
retrain,40,0.004816194000452136,-1639045.125,,0.006266804240273479,0.9915,55.15,9m27s
