phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2873405918757121,-474958.34375,,0.007720991533689489,,,14s
retrain,2,0.06752615981499355,-748345.0,,0.007720991533689489,,,29s
retrain,3,0.04784816356798013,-922851.8125,,0.007720991533689489,,,43s
retrain,4,0.03609927814851205,-976946.25,,0.007720991533689489,,,58s
retrain,5,0.0313623335758845,-997667.375,,0.007720991533689489,,,1m12s
retrain,6,0.026762924654285113,-1019013.75,,0.007720991533689489,,,1m27s
retrain,7,0.02516779188091556,-1041566.1875,,0.007720991533689489,,,1m41s
retrain,8,0.022489016176760197,-1068379.5,,0.007720991533689489,,,1m56s
retrain,9,0.019723409700642028,-1102091.75,,0.007720991533689489,,,2m10s
retrain,10,0.019976744552577537,-1140693.0,,0.007720991533689489,,,2m24s
retrain,11,0.018662302529563506,-1188773.0,,0.007720991533689489,,,2m38s
retrain,12,0.020198258549720047,-1246584.375,,0.007720991533689489,,,2m53s
retrain,13,0.019678819843381642,-1334021.875,,0.007720991533689489,,,3m07s
retrain,14,0.020960776330530645,-1471608.5,,0.007720991533689489,,,3m22s
retrain,15,0.022200043355176845,-1680524.875,,0.007720991533689489,,,3m37s
retrain,16,0.021014454716444017,-1763352.375,,0.007720991533689489,,,3m51s
retrain,17,0.018813518402104577,-1790081.625,,0.007720991533689489,,,4m05s
retrain,18,0.016100643768534064,-1790744.75,,0.007720991533689489,,,4m19s
retrain,19,0.015489285638990501,-1786472.75,,0.007720991533689489,,,4m34s
retrain,20,0.013024305502822001,-1794198.0,,0.007720991533689489,0.9912,52.86,4m48s
retrain,21,0.01117981666189929,-1793487.0,,0.007720991533689489,,,5m03s
retrain,22,0.011896642018606265,-1793349.375,,0.007720991533689489,,,5m18s
retrain,23,0.010968795649614185,-1804432.125,,0.007720991533689489,,,5m32s
retrain,24,0.008912232824104527,-1814453.5,,0.007720991533689489,,,5m47s
retrain,25,0.008333901194948702,-1799683.625,,0.007720991533689489,,,6m02s
retrain,26,0.009207239968733242,-1781376.375,,0.007720991533689489,,,6m15s
retrain,27,0.008275377599212031,-1796826.25,,0.007720991533689489,,,6m25s
retrain,28,0.007900574915809557,-1793196.125,,0.007720991533689489,,,6m40s
retrain,29,0.0068358997256184615,-1783731.125,,0.007720991533689489,,,6m55s
retrain,30,0.006677616047129656,-1809876.125,,0.007720991533689489,,,7m09s
retrain,31,0.0053749457020467765,-1805772.5,,0.007720991533689489,,,7m24s
retrain,32,0.005798021417724279,-1816883.25,,0.007720991533689489,,,7m38s
retrain,33,0.004597092876777363,-1808637.125,,0.007720991533689489,,,7m53s
retrain,34,0.006179940624620455,-1762983.25,,0.007720991533689489,,,8m07s
retrain,35,0.005383359106009205,-1801550.0,,0.007720991533689489,,,8m21s
retrain,36,0.0055957848410820585,-1804596.625,,0.007720991533689489,,,8m36s
retrain,37,0.004095905577668843,-1812013.75,,0.007720991533689489,,,8m51s
retrain,38,0.0034560633879795206,-1797384.25,,0.007720991533689489,,,9m06s
retrain,39,0.005728102441791756,-1785305.125,,0.007720991533689489,,,9m20s
retrain,40,0.004160874034138396,-1824122.375,,0.007720991533689489,0.9918,52.41,9m35s
