phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
retrain,1,0.2801811159948508,-475322.53125,,0.006661009844027112,,,14s
retrain,2,0.07096765528321267,-748790.1875,,0.006661009844027112,,,28s
retrain,3,0.04806325397292773,-922866.3125,,0.006661009844027112,,,43s
retrain,4,0.03680522949596246,-972885.0,,0.006661009844027112,,,57s
retrain,5,0.02992320570598046,-988690.5,,0.006661009844027112,,,1m11s
retrain,6,0.02601183414980769,-1001419.4375,,0.006661009844027112,,,1m25s
retrain,7,0.023154868106047312,-1017802.75,,0.006661009844027112,,,1m39s
retrain,8,0.021085834419851502,-1036460.875,,0.006661009844027112,,,1m53s
retrain,9,0.018838395467897256,-1056703.875,,0.006661009844027112,,,2m07s
retrain,10,0.016958491346550485,-1079815.5,,0.006661009844027112,,,2m22s
retrain,11,0.017181835844616095,-1106123.0,,0.006661009844027112,,,2m36s
retrain,12,0.014891976023217042,-1139718.375,,0.006661009844027112,,,2m50s
retrain,13,0.01685164582505822,-1170539.125,,0.006661009844027112,,,3m04s
retrain,14,0.01535463451507191,-1218674.75,,0.006661009844027112,,,3m14s
retrain,15,0.01658155894999703,-1269004.625,,0.006661009844027112,,,3m25s
retrain,16,0.01579516645334661,-1341359.0,,0.006661009844027112,,,3m39s
retrain,17,0.016868998825425904,-1454833.0,,0.006661009844027112,,,3m53s
retrain,18,0.017762581346929072,-1591844.25,,0.006661009844027112,,,4m07s
retrain,19,0.017334459821879863,-1663893.375,,0.006661009844027112,,,4m22s
retrain,20,0.01571822137919565,-1695817.25,,0.006661009844027112,0.9920,53.26,4m36s
retrain,21,0.013614095396051804,-1705544.375,,0.006661009844027112,,,4m51s
retrain,22,0.012964888721432847,-1705467.5,,0.006661009844027112,,,5m05s
retrain,23,0.011183991120817761,-1697848.5,,0.006661009844027112,,,5m19s
retrain,24,0.010952250827414294,-1703927.0,,0.006661009844027112,,,5m34s
retrain,25,0.008796160004148259,-1709070.125,,0.006661009844027112,,,5m48s
retrain,26,0.009476113423441226,-1704868.75,,0.006661009844027112,,,6m02s
retrain,27,0.008702909186094378,-1704648.75,,0.006661009844027112,,,6m16s
retrain,28,0.007708489349205047,-1711559.125,,0.006661009844027112,,,6m30s
retrain,29,0.006434013163407023,-1715857.375,,0.006661009844027112,,,6m45s
retrain,30,0.007674615543545224,-1704711.25,,0.006661009844027112,,,6m59s
retrain,31,0.006100621404172853,-1727102.875,,0.006661009844027112,,,7m13s
retrain,32,0.007011774508701637,-1714756.5,,0.006661009844027112,,,7m27s
retrain,33,0.005843243372254074,-1714807.0,,0.006661009844027112,,,7m41s
retrain,34,0.005357739021605812,-1726102.25,,0.006661009844027112,,,7m55s
retrain,35,0.005389946226236255,-1721064.625,,0.006661009844027112,,,8m09s
retrain,36,0.005660053019768869,-1725169.625,,0.006661009844027112,,,8m23s
retrain,37,0.0036453501066192984,-1711909.75,,0.006661009844027112,,,8m38s
retrain,38,0.0069095986078570905,-1711164.5,,0.006661009844027112,,,8m52s
retrain,39,0.005099674853597147,-1693340.375,,0.006661009844027112,,,9m07s
retrain,40,0.004567082014551852,-1718754.5,,0.006661009844027112,0.9922,52.02,9m21s
