phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.205600398315986,,,,0.9800,,5s
pretrain,2,0.049569241159657634,,,,0.9862,,10s
pretrain,3,0.03379094782943527,,,,0.9903,,14s
pretrain,4,0.02452236460658411,,,,0.9919,,19s
pretrain,5,0.018545133198425174,,,,0.9889,,23s
pretrain,6,0.015413630134736497,,,,0.9902,,27s
pretrain,7,0.012401985976224144,,,,0.9907,,32s
pretrain,8,0.010973733588525405,,,,0.9907,,36s
pretrain,9,0.00792903754375875,,,,0.9906,,40s
pretrain,10,0.009017629984013426,,,,0.9918,,45s
pretrain,11,0.007018376649097384,,,,0.9909,,49s
pretrain,12,0.006068429777984663,,,,0.9936,,54s
pretrain,13,0.0037661841410057,,,,0.9936,,58s
pretrain,14,0.00679804521734283,,,,0.9894,,1m02s
pretrain,15,0.006081201895828902,,,,0.9932,,1m07s
pretrain,16,0.0025070948398827264,,,,0.9930,,1m11s
pretrain,17,0.004392020618453777,,,,0.9924,,1m16s
pretrain,18,0.0019406271090766192,,,,0.9919,,1m20s
pretrain,19,0.0035523608265818135,,,,0.9916,,1m24s
pretrain,20,0.0049852169531663095,,,,0.9907,,1m29s
retrain,1,0.0009171766423874942,-404931.0,,0.005,0.9914,,10s
retrain,2,0.0014518682916293984,-547110.0,,0.005,0.9914,,20s
retrain,3,0.0006961525219646015,-611080.5625,,0.005,0.9924,,30s
retrain,4,0.0002777924644132933,-674759.625,,0.005,0.9926,,41s
retrain,5,0.0021301204227314884,-713049.5625,,0.005,0.9922,,51s
retrain,6,0.0015611652919615153,-758251.625,,0.005,0.9917,,1m01s
retrain,7,0.0010808717529270022,-813439.1875,,0.005,0.9923,,1m11s
retrain,8,0.001348917463265631,-888813.125,,0.005,0.9908,,1m21s
retrain,9,0.0036441001663915814,-950501.9375,,0.005,0.9932,,1m31s
retrain,10,0.0022794771160464735,-1059055.625,,0.005,0.9933,,1m42s
retrain,11,0.004608055019262247,-1184989.625,,0.005,0.9919,,1m52s
retrain,12,0.004293199262302369,-1420955.5,,0.005,0.9929,,2m02s
retrain,13,0.005424770492625733,-1570303.25,,0.005,0.9916,,2m12s
retrain,14,0.0030779427781390646,-1630564.375,,0.005,0.9915,,2m22s
retrain,15,0.0017562222339057674,-1651539.0,,0.005,0.9920,,2m32s
retrain,16,0.0017864401267026551,-1643500.5,,0.005,0.9927,,2m42s
retrain,17,0.0032316894411206403,-1582929.0,,0.005,0.9924,,2m52s
retrain,18,0.0008314264772595683,-1656662.125,,0.005,0.9926,,3m02s
retrain,19,0.0016545771782596906,-1615739.875,,0.005,0.9922,,3m12s
retrain,20,0.0006469239484053105,-1668305.625,,0.005,0.9937,,3m22s
retrain,21,0.00025917868665322505,-1669336.875,,0.005,0.9928,,3m32s
retrain,22,0.0008153243242990962,-1573512.625,,0.005,0.9919,,3m42s
retrain,23,0.003534720983769512,-1657923.25,,0.005,0.9933,,3m52s
retrain,24,0.00023058165468210063,-1674024.125,,0.005,0.9931,,4m02s
retrain,25,0.00024768770510466613,-1667230.25,,0.005,0.9929,,4m12s
retrain,26,0.0002067456262081881,-1681447.75,,0.005,0.9925,,4m23s
retrain,27,0.0004519052626863413,-1598256.25,,0.005,0.9905,,4m33s
retrain,28,0.005809588548357715,-1638558.125,,0.005,0.9932,,4m43s
retrain,29,0.00021211137954863565,-1673667.75,,0.005,0.9933,,4m53s
retrain,30,0.00015849041158799083,-1677544.75,,0.005,0.9931,,5m03s
retrain,31,0.00014392173082518033,-1680067.25,,0.005,0.9930,,5m13s
retrain,32,0.0022654906221525987,-1361133.5,,0.005,0.9840,,5m23s
retrain,33,0.002446714461285834,-1666737.25,,0.005,0.9931,,5m33s
retrain,34,0.00015748979968290466,-1677046.875,,0.005,0.9935,,5m43s
retrain,35,0.00012617575620582405,-1680091.75,,0.005,0.9933,,5m53s
retrain,36,0.0001005814205755693,-1678108.375,,0.005,0.9926,,6m03s
retrain,37,9.453310528848912e-05,-1681477.375,,0.005,0.9928,,6m13s
retrain,38,0.004536450800222883,-1439423.625,,0.005,0.9917,,6m23s
retrain,39,0.002047162891982589,-1654277.5,,0.005,0.9931,,6m33s
retrain,40,0.0001360560808266958,-1669716.375,,0.005,0.9934,,6m43s
retrain,41,0.00010454838853960003,-1674496.875,,0.005,0.9936,,6m53s
retrain,42,8.132721904888361e-05,-1676413.0,,0.005,0.9934,,7m03s
retrain,43,9.761461105990747e-05,-1676234.375,,0.005,0.9930,,7m13s
retrain,44,0.0042917036108979425,-1487256.625,,0.005,0.9927,,7m24s
retrain,45,0.0009553934133071986,-1663721.125,,0.005,0.9937,,7m34s
retrain,46,8.44616548481099e-05,-1669780.375,,0.005,0.9936,,7m44s
retrain,47,6.373347918858296e-05,-1673411.875,,0.005,0.9932,,7m54s
retrain,48,6.096378262621632e-05,-1674380.25,,0.005,0.9933,,8m04s
retrain,49,5.9391607256717785e-05,-1668404.625,,0.005,0.9920,,8m15s
retrain,50,0.0004071557863228615,-1634604.125,,0.005,0.9920,,8m25s
retrain,51,0.005309090622509393,-1583776.375,,0.005,0.9919,,8m35s
retrain,52,0.00021189534988140318,-1659358.875,,0.005,0.9934,,8m45s
retrain,53,5.417626122458993e-05,-1664737.625,,0.005,0.9934,,8m55s
retrain,54,4.6437803532868806e-05,-1668089.375,,0.005,0.9933,,9m05s
retrain,55,4.6831471627456265e-05,-1669027.0,,0.005,0.9932,,9m15s
retrain,56,4.528680469344029e-05,-1669622.125,,0.005,0.9930,,9m25s
retrain,57,4.966796868250943e-05,-1669582.75,,0.005,0.9925,,9m34s
retrain,58,0.005038264616715969,-1408115.75,,0.005,0.9918,,9m45s
retrain,59,0.0010681164673625972,-1636865.0,,0.005,0.9933,,9m55s
retrain,60,7.044560801514308e-05,-1652469.0,,0.005,0.9934,,10m05s
retrain,61,5.292831496423484e-05,-1657508.25,,0.005,0.9937,,10m15s
retrain,62,4.502425975698922e-05,-1660285.0,,0.005,0.9936,,10m25s
retrain,63,0.0019858454988998914,-1444728.375,,0.005,0.9917,,10m35s
retrain,64,0.001772579986333949,-1647185.5,,0.005,0.9934,,10m45s
retrain,65,4.8513422053578855e-05,-1655353.0,,0.005,0.9931,,10m56s
retrain,66,4.048154657865174e-05,-1658098.0,,0.005,0.9933,,11m06s
retrain,67,3.758354114793292e-05,-1658962.0,,0.005,0.9932,,11m15s
retrain,68,4.594742158947156e-05,-1659174.25,,0.005,0.9936,,11m26s
retrain,69,4.0311157740882206e-05,-1658888.5,,0.005,0.9933,,11m36s
retrain,70,3.6749351576096954e-05,-1655232.875,,0.005,0.9931,,11m46s
retrain,71,0.006585211478987306,-1529893.625,,0.005,0.9930,,11m56s
retrain,72,0.0003107480901966483,-1640239.5,,0.005,0.9935,,12m06s
retrain,73,4.082164504228179e-05,-1646642.75,,0.005,0.9933,,12m17s
retrain,74,3.3551225314863587e-05,-1651619.25,,0.005,0.9934,,12m27s
retrain,75,2.9737194046113775e-05,-1654022.0,,0.005,0.9932,,12m37s
retrain,76,2.6072282940562747e-05,-1655008.5,,0.005,0.9932,,12m48s
retrain,77,2.612848138060144e-05,-1654972.875,,0.005,0.9931,,12m59s
retrain,78,2.8553444651955337e-05,-1652784.875,,0.005,0.9934,,13m09s
retrain,79,2.0575937937127263e-05,-1654320.0,,0.005,0.9929,,13m19s
retrain,80,0.003268416713723074,-1251949.0,,0.005,0.9880,,13m29s
retrain,81,0.003844067814997955,-1563221.5,,0.005,0.9932,,13m40s
retrain,82,9.423085054774371e-05,-1630729.5,,0.005,0.9932,,13m50s
retrain,83,3.7714635862948854e-05,-1636946.75,,0.005,0.9933,,14m01s
retrain,84,2.9767253094359938e-05,-1641908.125,,0.005,0.9933,,14m11s
retrain,85,2.8292430246818868e-05,-1644024.0,,0.005,0.9933,,14m21s
retrain,86,2.710691450393649e-05,-1644409.875,,0.005,0.9932,,14m32s
retrain,87,2.405247862445208e-05,-1644828.125,,0.005,0.9935,,14m41s
retrain,88,2.612948085663523e-05,-1644829.75,,0.005,0.9935,,14m52s
retrain,89,3.2624296423712925e-05,-1645104.25,,0.005,0.9933,,15m02s
retrain,90,0.002350714366551574,-1300843.5,,0.005,0.9896,,15m12s
retrain,91,0.003251865529227386,-1575843.125,,0.005,0.9936,,15m22s
retrain,92,0.0001134279886410127,-1625367.375,,0.005,0.9931,,15m33s
retrain,93,2.6752308015435725e-05,-1631699.875,,0.005,0.9931,,15m43s
retrain,94,2.276777833738682e-05,-1636692.25,,0.005,0.9930,,15m54s
retrain,95,2.197776578846818e-05,-1638445.625,,0.005,0.9931,,16m04s
retrain,96,2.112368450015462e-05,-1639075.125,,0.005,0.9932,,16m15s
retrain,97,2.151071152275866e-05,-1639195.25,,0.005,0.9931,,16m25s
retrain,98,2.1086375805899137e-05,-1639268.0,,0.005,0.9932,,16m35s
retrain,99,2.067076835304154e-05,-1638963.75,,0.005,0.9932,,16m46s
retrain,100,0.001382466886513195,-1293709.25,,0.005,0.9887,,16m56s
