phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.205600398315986,,,,0.9800,,4s
pretrain,2,0.049569241159657634,,,,0.9862,,8s
pretrain,3,0.03379094782943527,,,,0.9903,,13s
pretrain,4,0.02452236460658411,,,,0.9919,,17s
pretrain,5,0.018545133198425174,,,,0.9889,,22s
pretrain,6,0.015413630134736497,,,,0.9902,,26s
pretrain,7,0.012401985976224144,,,,0.9907,,31s
pretrain,8,0.010973733588525405,,,,0.9907,,35s
pretrain,9,0.00792903754375875,,,,0.9906,,40s
pretrain,10,0.009017629984013426,,,,0.9918,,44s
pretrain,11,0.007018376649097384,,,,0.9909,,48s
pretrain,12,0.006068429777984663,,,,0.9936,,53s
pretrain,13,0.0037661841410057,,,,0.9936,,57s
pretrain,14,0.00679804521734283,,,,0.9894,,1m02s
pretrain,15,0.006081201895828902,,,,0.9932,,1m06s
pretrain,16,0.0025070948398827264,,,,0.9930,,1m11s
pretrain,17,0.004392020618453777,,,,0.9924,,1m15s
pretrain,18,0.0019406271090766192,,,,0.9919,,1m20s
pretrain,19,0.0035523608265818135,,,,0.9916,,1m24s
pretrain,20,0.0049852169531663095,,,,0.9907,,1m29s
retrain,1,0.0009119730465268731,-429140.9375,,0.005,0.9917,,6s
retrain,2,0.001630807329424594,-557068.1875,,0.005,0.9922,,12s
retrain,3,0.00033731630256534116,-612595.5,,0.005,0.9919,,18s
retrain,4,0.0011883726892615717,-657730.5,,0.005,0.9926,,24s
retrain,5,0.00038580008297522,-710500.1875,,0.005,0.9929,,31s
retrain,6,0.002314882192257695,-760497.5,,0.005,0.9911,,37s
retrain,7,0.0017416956741794518,-810947.8125,,0.005,0.9925,,43s
retrain,8,0.001786609876677782,-868450.3125,,0.005,0.9928,,49s
retrain,9,0.0015959514316675875,-953318.125,,0.005,0.9925,,55s
retrain,10,0.004503321945814726,-1034108.75,,0.005,0.9920,,1m02s
retrain,11,0.003164783274700555,-1197934.75,,0.005,0.9929,,1m08s
retrain,12,0.005278950892264644,-1612564.625,,0.005,0.9918,,1m14s
retrain,13,0.002989986780177181,-2371347.0,,0.005,0.9930,,1m21s
retrain,14,0.0011298884185729548,-2836134.0,,0.005,0.9926,,1m27s
