phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,1.3137283749198914,,,,0.5472,,15s
pretrain,2,0.8982974966430664,,,,0.5968,,30s
pretrain,3,0.7370813357925415,,,,0.7191,,45s
pretrain,4,0.6514390281105041,,,,0.7330,,1m01s
pretrain,5,0.5967916001796723,,,,0.7562,,1m16s
pretrain,6,0.5473072555732728,,,,0.7781,,1m31s
pretrain,7,0.5063114868736267,,,,0.7774,,1m47s
pretrain,8,0.48259371126174927,,,,0.8202,,2m02s
pretrain,9,0.4527506663894653,,,,0.7955,,2m17s
pretrain,10,0.42615984592437745,,,,0.8080,,2m32s
pretrain,11,0.4182345153713226,,,,0.8191,,2m48s
pretrain,12,0.40273108041763306,,,,0.8275,,3m03s
pretrain,13,0.38049693899154663,,,,0.8202,,3m18s
pretrain,14,0.367949106798172,,,,0.8316,,3m33s
pretrain,15,0.35723839220047,,,,0.8337,,3m48s
pretrain,16,0.34939906238555907,,,,0.8489,,4m04s
pretrain,17,0.33785312998771666,,,,0.8653,,4m19s
pretrain,18,0.3311497898769379,,,,0.8346,,4m34s
pretrain,19,0.3242166812705994,,,,0.8698,,4m49s
pretrain,20,0.31865246702194217,,,,0.8499,,5m04s
pretrain,21,0.31157885942459107,,,,0.8656,,5m20s
pretrain,22,0.30731706911087037,,,,0.8285,,5m35s
pretrain,23,0.2995240119457245,,,,0.8521,,5m50s
pretrain,24,0.29218401171684266,,,,0.8698,,6m05s
pretrain,25,0.28649507453918455,,,,0.8634,,6m20s
pretrain,26,0.28877798397541043,,,,0.8660,,6m35s
pretrain,27,0.2798040246105194,,,,0.8735,,6m50s
pretrain,28,0.27758408153533937,,,,0.8553,,7m05s
pretrain,29,0.279749391040802,,,,0.8658,,7m20s
pretrain,30,0.2701892306613922,,,,0.8703,,7m35s
pretrain,31,0.2751475015258789,,,,0.8749,,7m51s
pretrain,32,0.2686986100196838,,,,0.8552,,8m06s
pretrain,33,0.2664542497062683,,,,0.8674,,8m21s
pretrain,34,0.26129026743888856,,,,0.8843,,8m36s
pretrain,35,0.25908984024047854,,,,0.8744,,8m51s
pretrain,36,0.2603533455085754,,,,0.8877,,9m06s
pretrain,37,0.2580809770870209,,,,0.8650,,9m21s
pretrain,38,0.25292913036346437,,,,0.8685,,9m36s
pretrain,39,0.2545833177947998,,,,0.8584,,9m51s
pretrain,40,0.24766873598098754,,,,0.8673,,10m06s
pretrain,41,0.24617119351387023,,,,0.8812,,10m21s
pretrain,42,0.24963513023376466,,,,0.8832,,10m36s
pretrain,43,0.24129978427410126,,,,0.8763,,10m51s
pretrain,44,0.24352694346427917,,,,0.8737,,11m06s
pretrain,45,0.24083683125019073,,,,0.8656,,11m21s
pretrain,46,0.24344841355800628,,,,0.8682,,11m36s
pretrain,47,0.2381470159649849,,,,0.8696,,11m51s
pretrain,48,0.2384727441239357,,,,0.8820,,12m06s
pretrain,49,0.23623833209991454,,,,0.8860,,12m21s
pretrain,50,0.23272603015422821,,,,0.8843,,12m35s
pretrain,51,0.22767790371894836,,,,0.8678,,12m50s
pretrain,52,0.23289165231704712,,,,0.8750,,13m05s
pretrain,53,0.23383380789756775,,,,0.8739,,13m20s
pretrain,54,0.23327380699157715,,,,0.8714,,13m35s
pretrain,55,0.2302837938785553,,,,0.8649,,13m50s
pretrain,56,0.2337027574634552,,,,0.8843,,14m05s
pretrain,57,0.2253343747806549,,,,0.8885,,14m20s
pretrain,58,0.23088158462524414,,,,0.8817,,14m35s
pretrain,59,0.22586567974090577,,,,0.8799,,14m50s
pretrain,60,0.22224036225318908,,,,0.8805,,15m04s
pretrain,61,0.2271367311525345,,,,0.8909,,15m19s
pretrain,62,0.2245576584625244,,,,0.8812,,15m34s
pretrain,63,0.21726760255813599,,,,0.8727,,15m49s
pretrain,64,0.22735880752563475,,,,0.8786,,16m04s
pretrain,65,0.22092765227794647,,,,0.8792,,16m19s
pretrain,66,0.22356790711402894,,,,0.8851,,16m34s
pretrain,67,0.22178015652656555,,,,0.8876,,16m49s
pretrain,68,0.21495693588256837,,,,0.8850,,17m03s
pretrain,69,0.22044791761875152,,,,0.8662,,17m18s
pretrain,70,0.21716138057231904,,,,0.8821,,17m33s
pretrain,71,0.21996933323860168,,,,0.8719,,17m48s
pretrain,72,0.2121090225505829,,,,0.8707,,18m03s
pretrain,73,0.21636239035606383,,,,0.8818,,18m18s
pretrain,74,0.21424042622566222,,,,0.8754,,18m33s
pretrain,75,0.21385350139141082,,,,0.8624,,18m47s
pretrain,76,0.21574100637435914,,,,0.8872,,19m02s
pretrain,77,0.21435532022476197,,,,0.8797,,19m17s
pretrain,78,0.21209250076293945,,,,0.8862,,19m32s
pretrain,79,0.21547014588356017,,,,0.8774,,19m47s
pretrain,80,0.2136249216222763,,,,0.8868,,20m02s
pretrain,81,0.21165989206314087,,,,0.8790,,20m16s
pretrain,82,0.20993692120552063,,,,0.8764,,20m31s
pretrain,83,0.21146364027023315,,,,0.8716,,20m46s
pretrain,84,0.20480776223659516,,,,0.8802,,21m01s
pretrain,85,0.20883821731567384,,,,0.8755,,21m16s
pretrain,86,0.2076915968322754,,,,0.8576,,21m31s
pretrain,87,0.20644832150459289,,,,0.8852,,21m45s
pretrain,88,0.21420103663921355,,,,0.8484,,22m00s
pretrain,89,0.20548224013328553,,,,0.8825,,22m15s
pretrain,90,0.20123556344032287,,,,0.8852,,22m30s
pretrain,91,0.20609879875659942,,,,0.8761,,22m45s
pretrain,92,0.2074311606645584,,,,0.8875,,23m00s
pretrain,93,0.20653094215869905,,,,0.8857,,23m14s
pretrain,94,0.20563615809440614,,,,0.8836,,23m29s
pretrain,95,0.2114512289595604,,,,0.8726,,23m44s
pretrain,96,0.20475926328420638,,,,0.8665,,23m59s
pretrain,97,0.20323203249931335,,,,0.8648,,24m14s
pretrain,98,0.20367128555059433,,,,0.8815,,24m28s
pretrain,99,0.20485023879528047,,,,0.8836,,24m43s
pretrain,100,0.2046090507888794,,,,0.8640,,24m58s
pretrain,101,0.20136745970249176,,,,0.8784,,25m13s
pretrain,102,0.19919768214702607,,,,0.8715,,25m28s
pretrain,103,0.2017214393901825,,,,0.8926,,25m42s
pretrain,104,0.1969671991586685,,,,0.8863,,25m57s
pretrain,105,0.2045034784555435,,,,0.8820,,26m12s
pretrain,106,0.20832134449005127,,,,0.8625,,26m27s
pretrain,107,0.1994150925731659,,,,0.8860,,26m42s
pretrain,108,0.20125009166717528,,,,0.8888,,26m57s
pretrain,109,0.19578358061790466,,,,0.8720,,27m11s
pretrain,110,0.19964578044891357,,,,0.8779,,27m26s
pretrain,111,0.2011831847190857,,,,0.8813,,27m41s
pretrain,112,0.1982549092435837,,,,0.8835,,27m56s
pretrain,113,0.19745831233978273,,,,0.8918,,28m11s
pretrain,114,0.19539683159828186,,,,0.8868,,28m26s
pretrain,115,0.19296281091690062,,,,0.8945,,28m40s
pretrain,116,0.19898699650764465,,,,0.8705,,28m55s
pretrain,117,0.19752936264038085,,,,0.8803,,29m10s
pretrain,118,0.20016849314689636,,,,0.8813,,29m25s
pretrain,119,0.1967951720046997,,,,0.8801,,29m40s
pretrain,120,0.20079003370285034,,,,0.8788,,29m54s
pretrain,121,0.19633589610099791,,,,0.8867,,30m09s
pretrain,122,0.19769821793556214,,,,0.8757,,30m24s
pretrain,123,0.2003896777868271,,,,0.8639,,30m39s
pretrain,124,0.2006389301776886,,,,0.8840,,30m54s
pretrain,125,0.1962173420715332,,,,0.8758,,31m09s
pretrain,126,0.19523350242614745,,,,0.8916,,31m24s
pretrain,127,0.19937852767467498,,,,0.8815,,31m39s
pretrain,128,0.19391842717170715,,,,0.8821,,31m54s
pretrain,129,0.19608789030075074,,,,0.8810,,32m09s
pretrain,130,0.1896235873413086,,,,0.8828,,32m24s
pretrain,131,0.1962233525276184,,,,0.8833,,32m38s
pretrain,132,0.19733941765785218,,,,0.8895,,32m53s
pretrain,133,0.19656985171318053,,,,0.8804,,33m08s
pretrain,134,0.19283804306983948,,,,0.8887,,33m23s
pretrain,135,0.1961141397857666,,,,0.8709,,33m38s
pretrain,136,0.19355184147834778,,,,0.8803,,33m53s
pretrain,137,0.19294693089962006,,,,0.8738,,34m07s
pretrain,138,0.19342706651687622,,,,0.8796,,34m22s
pretrain,139,0.19079496767997742,,,,0.8820,,34m37s
pretrain,140,0.18817443373680115,,,,0.8791,,34m52s
pretrain,141,0.1967242169380188,,,,0.8827,,35m07s
pretrain,142,0.190117000746727,,,,0.8798,,35m22s
pretrain,143,0.1945207534122467,,,,0.8867,,35m37s
pretrain,144,0.193108775138855,,,,0.8768,,35m51s
pretrain,145,0.1927008601808548,,,,0.8861,,36m06s
pretrain,146,0.1947686838912964,,,,0.8902,,36m21s
pretrain,147,0.1893913937330246,,,,0.8887,,36m36s
pretrain,148,0.1897254084444046,,,,0.8804,,36m51s
pretrain,149,0.19163689392089844,,,,0.8796,,37m05s
pretrain,150,0.19380634112358094,,,,0.8854,,37m20s
pretrain,151,0.1857756993484497,,,,0.8887,,37m35s
pretrain,152,0.19321516418933868,,,,0.8877,,37m50s
pretrain,153,0.1913979207420349,,,,0.8796,,38m05s
pretrain,154,0.19187602163791656,,,,0.8883,,38m19s
pretrain,155,0.18578489973545073,,,,0.8800,,38m34s
pretrain,156,0.19060419629096984,,,,0.8859,,38m49s
pretrain,157,0.18652967653274535,,,,0.8906,,39m04s
pretrain,158,0.19130431962013245,,,,0.8969,,39m19s
pretrain,159,0.1895289934682846,,,,0.8851,,39m33s
pretrain,160,0.18440662657260895,,,,0.8627,,39m48s
retrain,1,0.17924492788791657,-1719575.75,,0.005,0.8932,,1m25s
retrain,2,0.16744856217384338,-2262397.5,,0.005,0.8904,,2m51s
retrain,3,0.15451817196846007,-2796009.25,,0.005,0.9000,,4m17s
retrain,4,0.14843321835517884,-3318974.25,,0.005,0.8996,,5m43s
retrain,5,0.13923546521663666,-3828078.5,,0.005,0.8914,,7m09s
retrain,6,0.14031903298854828,-4317414.5,,0.005,0.8970,,8m35s
retrain,7,0.12970932580947875,-4777436.0,,0.005,0.8988,,10m02s
retrain,8,0.12385644973754883,-5200276.0,,0.005,0.8997,,11m28s
retrain,9,0.12470365087985992,-5574543.5,,0.005,0.9015,,12m54s
retrain,10,0.12017392475128173,-5907105.0,,0.005,0.9087,,14m20s
retrain,11,0.11510273531913758,-6229681.0,,0.005,0.8964,,15m46s
retrain,12,0.11251043464899063,-6559988.0,,0.005,0.9048,,17m12s
retrain,13,0.11816189597010612,-6907417.5,,0.005,0.9001,,18m38s
retrain,14,0.11176251872181893,-7283480.0,,0.005,0.9035,,20m04s
retrain,15,0.10474180306434631,-7690932.5,,0.005,0.9096,,21m31s
retrain,16,0.10260743301868439,-8127778.5,,0.005,0.9082,,22m56s
retrain,17,0.10361372720718384,-8579627.0,,0.005,0.9058,,24m23s
retrain,18,0.09914342481613159,-9043299.0,,0.005,0.9065,,25m49s
retrain,19,0.09828983456611633,-9516808.0,,0.005,0.9080,,27m15s
retrain,20,0.09366738198280335,-9985469.0,,0.005,0.9109,,28m41s
retrain,21,0.09146214490652084,-10436281.0,,0.005,0.9131,,30m07s
