phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,8s
pretrain,3,0.0888552248775959,,,,0.9717,,13s
pretrain,4,0.06382115814685821,,,,0.9751,,17s
pretrain,5,0.04914494829773903,,,,0.9753,,22s
pretrain,6,0.03687251263062159,,,,0.9785,,26s
pretrain,7,0.028611755961924792,,,,0.9722,,31s
pretrain,8,0.024727887305617334,,,,0.9790,,35s
pretrain,9,0.017471205711364745,,,,0.9788,,39s
pretrain,10,0.014097024916733305,,,,0.9794,,44s
pretrain,11,0.013515600477531552,,,,0.9752,,48s
pretrain,12,0.01352339623880883,,,,0.9799,,53s
pretrain,13,0.010322597002486387,,,,0.9774,,57s
pretrain,14,0.00988391927263389,,,,0.9804,,1m02s
pretrain,15,0.009239662440183262,,,,0.9808,,1m06s
pretrain,16,0.007805140399886295,,,,0.9776,,1m11s
pretrain,17,0.008153133329252401,,,,0.9783,,1m15s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m19s
pretrain,19,0.008344028548073644,,,,0.9801,,1m24s
pretrain,20,0.005396915764346098,,,,0.9795,,1m28s
retrain,1,0.002394000941546013,-208781.46875,,0.005,0.9822,,9s
retrain,2,0.0009753503611524745,-276237.25,,0.005,0.9808,,19s
retrain,3,0.0024307007915961246,-296554.5625,,0.005,0.9807,,29s
retrain,4,0.0019011602529596227,-306161.375,,0.005,0.9829,,38s
retrain,5,0.00031932663918220595,-315460.21875,,0.005,0.9837,,48s
retrain,6,0.00019166177070486205,-326820.625,,0.005,0.9826,,58s
retrain,7,0.00019402907947078346,-341113.3125,,0.005,0.9818,,1m08s
retrain,8,0.007062198649719358,-339966.53125,,0.005,0.9809,,1m17s
retrain,9,0.0016902527709918406,-345480.3125,,0.005,0.9826,,1m27s
retrain,10,0.0004319469874026254,-353759.25,,0.005,0.9823,,1m37s
retrain,11,0.0002577065886231139,-364365.625,,0.005,0.9825,,1m47s
retrain,12,0.00022303482712013648,-377855.8125,,0.005,0.9826,,1m57s
retrain,13,0.00030205721813254057,-394913.28125,,0.005,0.9833,,2m06s
retrain,14,0.008706563243254398,-390712.8125,,0.005,0.9823,,2m16s
retrain,15,0.00221542807467437,-396463.28125,,0.005,0.9819,,2m26s
retrain,16,0.0006491498448924783,-406100.25,,0.005,0.9830,,2m36s
retrain,17,0.00037773961638643715,-418588.03125,,0.005,0.9825,,2m46s
retrain,18,0.001271104887733236,-429663.0625,,0.005,0.9799,,2m55s
retrain,19,0.008125515066009635,-425085.15625,,0.005,0.9805,,3m05s
retrain,20,0.0020847464068870373,-432184.15625,,0.005,0.9828,,3m15s
retrain,21,0.0006581440195635272,-443692.5625,,0.005,0.9835,,3m25s
retrain,22,0.0008735321220088129,-456482.3125,,0.005,0.9814,,3m35s
retrain,23,0.002206578390789218,-466015.25,,0.005,0.9823,,3m45s
retrain,24,0.006421952798248579,-465400.0625,,0.005,0.9809,,3m55s
retrain,25,0.0030649745668905478,-473400.28125,,0.005,0.9811,,4m05s
retrain,26,0.0009384209637142097,-488000.21875,,0.005,0.9826,,4m15s
retrain,27,0.0006010499626669723,-508962.59375,,0.005,0.9827,,4m24s
retrain,28,0.004704377590996834,-517361.375,,0.005,0.9800,,4m34s
retrain,29,0.005665693593025207,-523629.40625,,0.005,0.9830,,4m44s
retrain,30,0.002222086532957231,-541543.125,,0.005,0.9801,,4m54s
retrain,31,0.0028858247516987223,-557599.0625,,0.005,0.9819,,5m04s
retrain,32,0.001958544951118529,-584276.9375,,0.005,0.9813,,5m13s
retrain,33,0.0023112573469989003,-615216.0,,0.005,0.9783,,5m23s
retrain,34,0.007810512836153308,-622820.25,,0.005,0.9803,,5m33s
retrain,35,0.002860072529828176,-670045.0625,,0.005,0.9821,,5m43s
retrain,36,0.0024271763254112254,-735846.8125,,0.005,0.9801,,5m53s
retrain,37,0.005560491764203956,-771150.8125,,0.005,0.9796,,6m02s
retrain,38,0.005675298936540882,-807617.25,,0.005,0.9822,,6m12s
retrain,39,0.002709592285224547,-862819.875,,0.005,0.9823,,6m22s
retrain,40,0.0021918254444375633,-875511.0625,,0.005,0.9805,,6m32s
retrain,41,0.0014323271519038827,-884616.1875,,0.005,0.9818,,6m42s
retrain,42,0.003239407497008021,-807941.0,,0.005,0.9791,,6m52s
retrain,43,0.0071369960562326015,-841058.1875,,0.005,0.9813,,7m02s
retrain,44,0.001080247738895317,-889550.625,,0.005,0.9832,,7m12s
retrain,45,0.0005462004575723161,-894497.4375,,0.005,0.9827,,7m22s
retrain,46,0.0005301788473462996,-895415.125,,0.005,0.9828,,7m32s
retrain,47,0.0004995922325877472,-897313.875,,0.005,0.9826,,7m42s
retrain,48,0.004562675012919741,-756784.9375,,0.005,0.9800,,7m52s
retrain,49,0.00995378509804917,-803210.25,,0.005,0.9816,,8m01s
retrain,50,0.0008325959754254048,-883145.0625,,0.005,0.9825,,8m11s
retrain,51,0.00033636430512027195,-894585.25,,0.005,0.9827,,8m21s
retrain,52,0.0003084457750218765,-897079.6875,,0.005,0.9831,,8m32s
retrain,53,0.0002977569130365737,-898877.6875,,0.005,0.9822,,8m41s
retrain,54,0.00031210503864664737,-901538.625,,0.005,0.9826,,8m51s
retrain,55,0.0004715113613870926,-890734.125,,0.005,0.9806,,9m01s
retrain,56,0.013178708470162625,-783277.625,,0.005,0.9806,,9m11s
retrain,57,0.001258163993153721,-873024.0625,,0.005,0.9835,,9m21s
retrain,58,0.0003854710951864642,-895164.5,,0.005,0.9831,,9m31s
retrain,59,0.00022842594838972825,-899521.3125,,0.005,0.9829,,9m41s
retrain,60,0.00022295856724182764,-902151.75,,0.005,0.9835,,9m51s
retrain,61,0.00022635444980308723,-904408.625,,0.005,0.9835,,10m01s
retrain,62,0.000250554837253488,-906261.5,,0.005,0.9834,,10m10s
retrain,63,0.0056686408696152895,-729624.875,,0.005,0.9753,,10m20s
retrain,64,0.009147221567411906,-804050.4375,,0.005,0.9824,,10m30s
retrain,65,0.0006338385663189304,-884056.0625,,0.005,0.9833,,10m40s
retrain,66,0.0002066926674451679,-898862.5625,,0.005,0.9831,,10m50s
retrain,67,0.00019102223358349874,-902568.5,,0.005,0.9832,,11m00s
retrain,68,0.0001883820338504544,-905162.875,,0.005,0.9829,,11m10s
retrain,69,0.0001981360367285864,-906961.75,,0.005,0.9831,,11m20s
retrain,70,0.00023004152816914332,-905842.75,,0.005,0.9822,,11m29s
retrain,71,0.0075748732702166305,-718031.5625,,0.005,0.9783,,11m39s
retrain,72,0.007033497606448752,-807619.125,,0.005,0.9822,,11m49s
retrain,73,0.0003917872013787322,-882808.8125,,0.005,0.9830,,11m59s
retrain,74,0.00016265391778045644,-897136.0625,,0.005,0.9829,,12m09s
retrain,75,0.00014799781540350524,-901046.5,,0.005,0.9828,,12m19s
retrain,76,0.00014455143308926685,-903646.8125,,0.005,0.9823,,12m29s
retrain,77,0.0001516077503571675,-905523.875,,0.005,0.9830,,12m39s
retrain,78,0.0001620570775742332,-905638.5,,0.005,0.9836,,12m48s
retrain,79,0.013028417072289933,-762232.4375,,0.005,0.9809,,12m58s
retrain,80,0.0010818083844525972,-862147.9375,,0.005,0.9823,,13m08s
retrain,81,0.00016703333275412053,-892185.6875,,0.005,0.9825,,13m18s
retrain,82,0.00012099187230439081,-897674.5,,0.005,0.9835,,13m28s
retrain,83,0.00011959892922944467,-900604.0625,,0.005,0.9833,,13m38s
retrain,84,0.00011929572256364432,-902594.625,,0.005,0.9827,,13m48s
retrain,85,0.00013140433579974343,-903392.25,,0.005,0.9827,,13m58s
retrain,86,0.00013640962150869503,-902275.75,,0.005,0.9820,,14m07s
retrain,87,0.016558794965669706,-735441.625,,0.005,0.9808,,14m17s
retrain,88,0.001552836078381127,-842830.6875,,0.005,0.9820,,14m27s
retrain,89,0.00014779923009676472,-886574.0625,,0.005,0.9829,,14m37s
retrain,90,0.00010452057847190493,-895175.5625,,0.005,0.9827,,14m47s
retrain,91,9.8240901089351e-05,-898398.8125,,0.005,0.9831,,14m57s
retrain,92,9.712176264632338e-05,-900835.875,,0.005,0.9828,,15m07s
retrain,93,0.00010135084602109904,-902165.3125,,0.005,0.9835,,15m17s
retrain,94,0.00011490515334153315,-902256.625,,0.005,0.9830,,15m27s
retrain,95,0.00012048864620737731,-902766.5,,0.005,0.9825,,15m36s
retrain,96,0.014407127172793844,-746279.0,,0.005,0.9797,,15m47s
retrain,97,0.001369350234462763,-845080.5,,0.005,0.9815,,15m57s
retrain,98,0.00015261625173006906,-883733.875,,0.005,0.9827,,16m07s
retrain,99,8.927062511138501e-05,-891391.3125,,0.005,0.9827,,16m17s
