phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,9s
pretrain,3,0.0888552248775959,,,,0.9717,,13s
pretrain,4,0.06382115814685821,,,,0.9751,,18s
pretrain,5,0.04914494829773903,,,,0.9753,,22s
pretrain,6,0.03687251263062159,,,,0.9785,,27s
pretrain,7,0.028611755961924792,,,,0.9722,,31s
pretrain,8,0.024727887305617334,,,,0.9790,,36s
pretrain,9,0.017471205711364745,,,,0.9788,,40s
pretrain,10,0.014097024916733305,,,,0.9794,,44s
pretrain,11,0.013515600477531552,,,,0.9752,,49s
pretrain,12,0.01352339623880883,,,,0.9799,,53s
pretrain,13,0.010322597002486387,,,,0.9774,,57s
pretrain,14,0.00988391927263389,,,,0.9804,,1m02s
pretrain,15,0.009239662440183262,,,,0.9808,,1m07s
pretrain,16,0.007805140399886295,,,,0.9776,,1m11s
pretrain,17,0.008153133329252401,,,,0.9783,,1m15s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m20s
pretrain,19,0.008344028548073644,,,,0.9801,,1m24s
pretrain,20,0.005396915764346098,,,,0.9795,,1m29s
retrain,1,0.0023940378052551142,-219535.15625,,0.005,0.9822,,8s
retrain,2,0.0009622890924064753,-281799.5,,0.005,0.9802,,16s
retrain,3,0.0017735571262814725,-298741.6875,,0.005,0.9819,,24s
retrain,4,0.0015270863968490933,-308132.0,,0.005,0.9839,,32s
retrain,5,0.0008517713296925649,-317034.375,,0.005,0.9831,,41s
retrain,6,0.00122892400828617,-325191.40625,,0.005,0.9818,,49s
retrain,7,0.0013566001826256979,-332749.5,,0.005,0.9812,,57s
retrain,8,0.00390590328402274,-335060.40625,,0.005,0.9807,,1m05s
retrain,9,0.0011312415866627512,-341798.03125,,0.005,0.9818,,1m14s
retrain,10,0.0003489801207470009,-351045.09375,,0.005,0.9836,,1m22s
retrain,11,0.00017512608536053448,-363077.8125,,0.005,0.9833,,1m30s
retrain,12,0.00020874967495134722,-378289.96875,,0.005,0.9834,,1m39s
retrain,13,0.007917071119177853,-376631.71875,,0.005,0.9821,,1m47s
retrain,14,0.003031922049090887,-381365.84375,,0.005,0.9820,,1m56s
retrain,15,0.0006079932697854626,-390200.84375,,0.005,0.9823,,2m04s
retrain,16,0.0003013838253507856,-402011.0,,0.005,0.9833,,2m13s
retrain,17,0.0002881350230095753,-417210.15625,,0.005,0.9823,,2m22s
retrain,18,0.006150161453988403,-417111.5,,0.005,0.9786,,2m30s
retrain,19,0.003909875425913681,-421165.9375,,0.005,0.9817,,2m38s
retrain,20,0.0009080967328666399,-431162.375,,0.005,0.9824,,2m46s
retrain,21,0.00045539061060796183,-444796.5,,0.005,0.9823,,2m55s
retrain,22,0.0009399587778917824,-459382.4375,,0.005,0.9770,,3m03s
retrain,23,0.006150575983648499,-456814.21875,,0.005,0.9797,,3m11s
retrain,24,0.0023850885218785456,-465670.0625,,0.005,0.9821,,3m20s
retrain,25,0.0009409173482873787,-479639.90625,,0.005,0.9817,,3m27s
retrain,26,0.0010563458781068524,-495484.6875,,0.005,0.9818,,3m36s
retrain,27,0.0065883609848252185,-493761.65625,,0.005,0.9804,,3m44s
retrain,28,0.0036063898718450217,-501873.0625,,0.005,0.9828,,3m53s
retrain,29,0.0009012093877807881,-519619.21875,,0.005,0.9831,,4m01s
retrain,30,0.001997230240718151,-537017.5625,,0.005,0.9751,,4m09s
retrain,31,0.004784393106649319,-544073.6875,,0.005,0.9822,,4m17s
retrain,32,0.0029866570853007337,-558195.9375,,0.005,0.9828,,4m26s
retrain,33,0.0029432790128669393,-576760.1875,,0.005,0.9815,,4m34s
retrain,34,0.0033103293865763893,-596286.5,,0.005,0.9814,,4m42s
retrain,35,0.0037514516304712744,-620958.125,,0.005,0.9772,,4m50s
retrain,36,0.0035761190357618032,-652584.8125,,0.005,0.9814,,4m59s
retrain,37,0.0034709007432994743,-690340.3125,,0.005,0.9812,,5m07s
retrain,38,0.005306695842463523,-727945.375,,0.005,0.9819,,5m15s
retrain,39,0.0035946007068113736,-791392.3125,,0.005,0.9831,,5m23s
retrain,40,0.00519632279619885,-823013.625,,0.005,0.9805,,5m32s
retrain,41,0.0038098281440945964,-855770.875,,0.005,0.9813,,5m40s
retrain,42,0.003091491682548076,-872789.6875,,0.005,0.9812,,5m49s
retrain,43,0.0028332910642648737,-875834.5625,,0.005,0.9814,,5m57s
retrain,44,0.0020658987952085835,-889542.5,,0.005,0.9805,,6m05s
retrain,45,0.0011956289757353565,-903402.25,,0.005,0.9825,,6m14s
retrain,46,0.00533149714897542,-799000.375,,0.005,0.9776,,6m21s
retrain,47,0.004598244373034686,-860386.0625,,0.005,0.9810,,6m30s
retrain,48,0.0008746315201744437,-904152.0625,,0.005,0.9821,,6m38s
retrain,49,0.0004332302497156585,-907335.75,,0.005,0.9827,,6m47s
retrain,50,0.0003948399302860101,-908892.25,,0.005,0.9821,,6m55s
retrain,51,0.0003737475393689238,-909887.0,,0.005,0.9828,,7m03s
