phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,9s
pretrain,3,0.0888552248775959,,,,0.9717,,13s
pretrain,4,0.06382115814685821,,,,0.9751,,18s
pretrain,5,0.04914494829773903,,,,0.9753,,22s
pretrain,6,0.03687251263062159,,,,0.9785,,27s
pretrain,7,0.028611755961924792,,,,0.9722,,31s
pretrain,8,0.024727887305617334,,,,0.9790,,36s
pretrain,9,0.017471205711364745,,,,0.9788,,40s
pretrain,10,0.014097024916733305,,,,0.9794,,44s
pretrain,11,0.013515600477531552,,,,0.9752,,49s
pretrain,12,0.01352339623880883,,,,0.9799,,53s
pretrain,13,0.010322597002486387,,,,0.9774,,57s
pretrain,14,0.00988391927263389,,,,0.9804,,1m02s
pretrain,15,0.009239662440183262,,,,0.9808,,1m06s
pretrain,16,0.007805140399886295,,,,0.9776,,1m10s
pretrain,17,0.008153133329252401,,,,0.9783,,1m15s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m19s
pretrain,19,0.008344028548073644,,,,0.9801,,1m24s
pretrain,20,0.005396915764346098,,,,0.9795,,1m28s
retrain,1,0.0023608046352708092,-217413.46875,,0.003,0.9820,,8s
retrain,2,0.000423500549106393,-276664.84375,,0.003,0.9827,,16s
retrain,3,0.00017537007205731546,-297510.46875,,0.003,0.9827,,24s
retrain,4,0.0049314765787916255,-303851.15625,,0.003,0.9824,,32s
retrain,5,0.002536412225223224,-306267.34375,,0.003,0.9820,,40s
retrain,6,0.0010522015919045466,-310128.4375,,0.003,0.9831,,49s
retrain,7,0.0007530248178149729,-314416.59375,,0.003,0.9827,,56s
retrain,8,0.0005058142817666522,-319670.875,,0.003,0.9833,,1m05s
retrain,9,0.0001312188075336356,-326961.8125,,0.003,0.9828,,1m13s
retrain,10,0.00011243921686060881,-336102.75,,0.003,0.9834,,1m22s
retrain,11,0.0005018294981739018,-346566.125,,0.003,0.9812,,1m30s
retrain,12,0.009143054758602132,-339054.9375,,0.003,0.9814,,1m38s
retrain,13,0.0014631978682882619,-341718.5625,,0.003,0.9833,,1m46s
retrain,14,0.00028536575882074733,-346649.625,,0.003,0.9835,,1m55s
retrain,15,0.0001637079160611999,-352910.21875,,0.003,0.9831,,2m02s
retrain,16,0.0001447699709465572,-360640.09375,,0.003,0.9828,,2m12s
retrain,17,0.0001594906646903837,-370115.5625,,0.003,0.9831,,2m20s
retrain,18,0.00480507703870923,-370635.46875,,0.003,0.9761,,2m28s
retrain,19,0.005824381627390782,-368174.71875,,0.003,0.9821,,2m37s
retrain,20,0.000654170503023003,-372527.53125,,0.003,0.9822,,2m45s
retrain,21,0.00027503346126371374,-378563.46875,,0.003,0.9831,,2m53s
retrain,22,0.0001896104386842732,-386056.34375,,0.003,0.9828,,3m01s
retrain,23,0.00018069087966384056,-395329.15625,,0.003,0.9828,,3m10s
retrain,24,0.00020324207480686406,-406837.46875,,0.003,0.9833,,3m18s
retrain,25,0.0024851979177173537,-413462.0625,,0.003,0.9830,,3m26s
retrain,26,0.009195164891891181,-404584.375,,0.003,0.9821,,3m34s
retrain,27,0.001117863860571136,-409021.6875,,0.003,0.9829,,3m42s
retrain,28,0.0007358909978473093,-415036.84375,,0.003,0.9829,,3m51s
retrain,29,0.00025706411099915083,-423163.40625,,0.003,0.9828,,3m59s
retrain,30,0.00023073058074417834,-433211.0625,,0.003,0.9823,,4m07s
retrain,31,0.00025367608447559177,-445619.53125,,0.003,0.9834,,4m15s
retrain,32,0.008633309607524037,-438557.9375,,0.003,0.9808,,4m24s
retrain,33,0.00356774404233632,-438843.1875,,0.003,0.9815,,4m32s
retrain,34,0.000842693164688535,-445636.71875,,0.003,0.9836,,4m40s
retrain,35,0.00042604513202483454,-454189.90625,,0.003,0.9824,,4m48s
retrain,36,0.00031215745898662136,-465440.6875,,0.003,0.9827,,4m57s
retrain,37,0.0003010907359692889,-479430.21875,,0.003,0.9825,,5m05s
retrain,38,0.003493736392678693,-483381.0625,,0.003,0.9748,,5m13s
retrain,39,0.008768040060717613,-473152.53125,,0.003,0.9825,,5m21s
retrain,40,0.001893703605995203,-478986.21875,,0.003,0.9829,,5m30s
retrain,41,0.0006290172570113403,-488139.8125,,0.003,0.9815,,5m38s
retrain,42,0.0006747790857761477,-499153.375,,0.003,0.9828,,5m46s
retrain,43,0.0003578326663972499,-514782.40625,,0.003,0.9824,,5m54s
retrain,44,0.00038254482285119594,-535933.125,,0.003,0.9827,,6m03s
retrain,45,0.006372201099790012,-533415.5625,,0.003,0.9792,,6m11s
retrain,46,0.007083580311395539,-529867.375,,0.003,0.9818,,6m19s
retrain,47,0.0017844848668357978,-540894.375,,0.003,0.9823,,6m28s
retrain,48,0.0010408132540915783,-556824.625,,0.003,0.9830,,6m36s
retrain,49,0.0004541829647884394,-580364.4375,,0.003,0.9830,,6m44s
retrain,50,0.0005071754242603978,-613519.3125,,0.003,0.9822,,6m52s
retrain,51,0.008923862662632018,-590762.5,,0.003,0.9798,,7m01s
