phase,epoch,train_ce,complexity,total_loss,tau,test_acc,CR_est,elapsed
pretrain,1,0.35050974901517234,,,,0.9523,,4s
pretrain,2,0.13823176677028337,,,,0.9648,,9s
pretrain,3,0.0888552248775959,,,,0.9717,,13s
pretrain,4,0.06382115814685821,,,,0.9751,,17s
pretrain,5,0.04914494829773903,,,,0.9753,,21s
pretrain,6,0.03687251263062159,,,,0.9785,,26s
pretrain,7,0.028611755961924792,,,,0.9722,,31s
pretrain,8,0.024727887305617334,,,,0.9790,,35s
pretrain,9,0.017471205711364745,,,,0.9788,,39s
pretrain,10,0.014097024916733305,,,,0.9794,,44s
pretrain,11,0.013515600477531552,,,,0.9752,,48s
pretrain,12,0.01352339623880883,,,,0.9799,,53s
pretrain,13,0.010322597002486387,,,,0.9774,,57s
pretrain,14,0.00988391927263389,,,,0.9804,,1m01s
pretrain,15,0.009239662440183262,,,,0.9808,,1m06s
pretrain,16,0.007805140399886295,,,,0.9776,,1m10s
pretrain,17,0.008153133329252401,,,,0.9783,,1m14s
pretrain,18,0.0061152083980618045,,,,0.9773,,1m19s
pretrain,19,0.008344028548073644,,,,0.9801,,1m23s
pretrain,20,0.005396915764346098,,,,0.9795,,1m27s
retrain,1,0.001970003093629202,-208550.65625,,0.000351047452472867,0.9815,,7s
retrain,2,0.0009060794220451499,-255936.71875,,0.000351047452472867,0.9809,,15s
retrain,3,0.00037044348846926973,-265804.5625,,0.000351047452472867,0.9831,,24s
retrain,4,8.372748020628933e-05,-271459.125,,0.000351047452472867,0.9832,,32s
retrain,5,5.7238893744943196e-05,-275943.375,,0.000351047452472867,0.9830,,40s
retrain,6,4.5753304837368585e-05,-280480.65625,,0.000351047452472867,0.9832,,49s
retrain,7,3.823145406107263e-05,-285293.65625,,0.000351047452472867,0.9835,,57s
retrain,8,3.390834944451247e-05,-290541.8125,,0.000351047452472867,0.9838,,1m05s
retrain,9,3.525075653354482e-05,-296478.28125,,0.000351047452472867,0.9831,,1m14s
retrain,10,0.00786770003940231,-292665.90625,,0.000351047452472867,0.9797,,1m21s
retrain,11,0.001922679955997349,-291124.0625,,0.000351047452472867,0.9840,,1m30s
retrain,12,0.0003403230420362282,-291288.53125,,0.000351047452472867,0.9830,,1m38s
retrain,13,0.00010572079364598419,-292241.625,,0.000351047452472867,0.9830,,1m47s
retrain,14,7.41583915053828e-05,-293423.625,,0.000351047452472867,0.9828,,1m55s
retrain,15,5.9669246234504196e-05,-294829.9375,,0.000351047452472867,0.9833,,2m03s
retrain,16,4.95762409317346e-05,-296477.84375,,0.000351047452472867,0.9828,,2m11s
retrain,17,4.239935170844547e-05,-298435.5625,,0.000351047452472867,0.9830,,2m20s
retrain,18,3.625925115096228e-05,-300766.1875,,0.000351047452472867,0.9829,,2m28s
retrain,19,3.162005743797636e-05,-303596.71875,,0.000351047452472867,0.9830,,2m37s
retrain,20,2.9026050570731362e-05,-306959.875,,0.000351047452472867,0.9834,,2m46s
retrain,21,2.707318293614662e-05,-311013.46875,,0.000351047452472867,0.9825,,2m54s
retrain,22,2.7052826781073235e-05,-315865.65625,,0.000351047452472867,0.9838,,3m02s
retrain,23,0.009698326949628244,-307441.21875,,0.000351047452472867,0.9796,,3m10s
retrain,24,0.003323627344336516,-305473.15625,,0.000351047452472867,0.9820,,3m19s
retrain,25,0.0007796625506763424,-305260.5,,0.000351047452472867,0.9832,,3m27s
retrain,26,0.00019167551603604808,-305744.34375,,0.000351047452472867,0.9829,,3m36s
retrain,27,8.054448005568702e-05,-306508.625,,0.000351047452472867,0.9833,,3m44s
retrain,28,5.479731481076063e-05,-307392.15625,,0.000351047452472867,0.9829,,3m52s
retrain,29,4.077029168280812e-05,-308519.34375,,0.000351047452472867,0.9831,,4m00s
retrain,30,3.4227356993991026e-05,-309942.53125,,0.000351047452472867,0.9833,,4m09s
retrain,31,2.9794165281176295e-05,-311711.3125,,0.000351047452472867,0.9836,,4m18s
retrain,32,2.7227556848083623e-05,-313821.71875,,0.000351047452472867,0.9838,,4m26s
retrain,33,2.4722350288842184e-05,-316436.375,,0.000351047452472867,0.9838,,4m34s
retrain,34,2.3133899685368913e-05,-319582.6875,,0.000351047452472867,0.9835,,4m42s
retrain,35,2.1557728382928568e-05,-323514.375,,0.000351047452472867,0.9838,,4m51s
retrain,36,2.17363734444613e-05,-328231.75,,0.000351047452472867,0.9836,,4m59s
retrain,37,0.006449304618685346,-323745.40625,,0.000351047452472867,0.9814,,5m07s
retrain,38,0.004979426242413077,-319201.75,,0.000351047452472867,0.9800,,5m16s
retrain,39,0.0009254873088852037,-318516.5,,0.000351047452472867,0.9826,,5m24s
retrain,40,0.000864889237198319,-317974.65625,,0.000351047452472867,0.9812,,5m32s
retrain,41,0.00034869016021936357,-318109.0,,0.000351047452472867,0.9822,,5m40s
retrain,42,6.204628078121459e-05,-319020.65625,,0.000351047452472867,0.9826,,5m49s
retrain,43,4.176840864068557e-05,-320169.59375,,0.000351047452472867,0.9829,,5m57s
retrain,44,3.440035258924278e-05,-321536.96875,,0.000351047452472867,0.9827,,6m06s
